Course Name,Status,Priority,City,Address,Google Maps Link,Website,Booking Link,Price Tier,Price Range,Date Played,Time of Day,Conditions When Played,My Rating (1-10),Player 1,Score 1,Player 2,Score 2,Player 3,Score 3,Player 4,Score 4,Notes
The Trails of Frisco Golf Club,To Play,,Frisco,"10411 Teel Pkwy, Frisco, TX 75034",https://www.google.com/maps/search/?api=1&query=Trails+of+Frisco+Golf+Club+TX,https://www.thetrailsoffriscogc.com,https://www.golfnow.com/tee-times/facility/33-the-trails-of-frisco-golf-club/search,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025
Tierra Verde Golf Club,To Play,,Arlington,"7005 Golf Club Dr, Arlington, TX 76001",https://www.google.com/maps/search/?api=1&query=Tierra+Verde+Golf+Club+Arlington+TX,https://www.arlingtongolf.com/tierra-verde,https://www.arlingtongolf.com/tee-times,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Audubon Sanctuary
Waterchase Golf Club,To Play,,Fort Worth,"8951 Creek Run Rd, Fort Worth, TX 76120",https://www.google.com/maps/search/?api=1&query=Waterchase+Golf+Club+Fort+Worth+TX,https://www.waterchasegc.com,https://www.golfnow.com/tee-times/facility/48-waterchase-golf-club/search,$$$,$80-125,,,,,,,,,,,,AvidGolfer Elite 2025 - Steven Plumer design
Brazos Club (Sugar Tree),To Play,,Lipan,"251 SugarTree Dr, Lipan, TX 76462",https://www.google.com/maps/search/?api=1&query=Sugar+Tree+Golf+Club+Lipan+TX,https://sugartreegolf.com,https://www.golfnow.com/tee-times/facility/7796-sugartree-golf-club/search,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - Brazos River views
Firewheel Golf Park - Bridges,To Play,,Garland,"1535 E Brand Rd, Garland, TX 75044",https://www.google.com/maps/search/?api=1&query=Firewheel+Golf+Park+Garland+TX,https://www.golffirewheel.com,https://www.golffirewheel.com/tee-times/,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - 63 holes total
Grapevine Golf Course,To Play,,Grapevine,"3800 Fairway Dr, Grapevine, TX 76051",https://www.google.com/maps/search/?api=1&query=Grapevine+Golf+Course+TX,https://grapevinegc.com,https://www.golfnow.com/tee-times/facility/5996-grapevine-golf-course/search,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - 27 holes
Hawks Creek Golf Club,To Play,,Westworth Village,"6520 White Settlement Rd, Westworth Village, TX 76114",https://www.google.com/maps/search/?api=1&query=Hawks+Creek+Golf+Club+Westworth+Village+TX,https://www.hawkscreek.com,https://www.golfnow.com/tee-times/facility/4122-hawks-creek/search,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025
Meadowbrook Golf Course,To Play,,Fort Worth,"1815 Jenson Rd, Fort Worth, TX 76112",https://www.google.com/maps/search/?api=1&query=Meadowbrook+Golf+Course+Fort+Worth+TX,https://www.fortworthgolf.org/golf/meadowbrook,https://www.fortworthgolf.org/tee-times/,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - $15M renovation
Sherrill Park Golf Course No. 1,To Play,,Richardson,"2001 E Lookout Dr, Richardson, TX 75082",https://www.google.com/maps/search/?api=1&query=Sherrill+Park+Golf+Course+Richardson+TX,https://www.sherrillparkgolf.com,https://www.sherrillparkgolf.com/booktime/,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025
Southern Oaks Golf & Tennis,To Play,,Burleson,"13765 Southern Oaks Dr, Burleson, TX 76028",https://www.google.com/maps/search/?api=1&query=Southern+Oaks+Golf+Club+Burleson+TX,https://www.southernoaksgolf.com,https://www.golfnow.com/tee-times/facility/7042-southern-oaks-golf-club/search,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - Mark Brooks design
Tangle Ridge Golf Course,To Play,,Grand Prairie,"818 Tangle Ridge Dr, Grand Prairie, TX 75052",https://www.google.com/maps/search/?api=1&query=Tangle+Ridge+Golf+Course+Grand+Prairie+TX,https://www.tangleridge.com,https://www.tangleridge.com/tee-times/,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - Joe Pool Lake views
The Bridges Golf Club,To Play,,Gunter,"2400 Fred Couples Dr, Gunter, TX 75058",https://www.google.com/maps/search/?api=1&query=The+Bridges+Golf+Club+Gunter+TX,https://www.bridgestexasgolf.com,https://www.golfnow.com/tee-times/facility/4512-the-bridges-golf-club-tx/search,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - Fred Couples design
The Courses at Watters Creek,To Play,,Plano,"7201 Chase Oaks Blvd, Plano, TX 75025",https://www.google.com/maps/search/?api=1&query=Courses+at+Watters+Creek+Plano+TX,https://www.watterscreekgolf.com,https://www.watterscreekgolf.com/tee-times/,$$,$60-80,,,,,,,,,,,,AvidGolfer Luxury 2025 - D.A. Weibring design
Tempest Golf Club,To Play,,Gladewater,"568 E Wilkins Rd, Gladewater, TX 75647",https://www.google.com/maps/search/?api=1&query=Tempest+Golf+Club+Gladewater+TX,https://www.tempestgolfclub.com,https://www.tempestgolfclub.com/tee-times/,$$$,$80-125,,,,,,,,,,,,AvidGolfer Best Outlying 2025 - #1 East TX
Pine Dunes Resort & Golf Club,To Play,,Frankston,"159 Private Rd 7019, Frankston, TX 75763",https://www.google.com/maps/search/?api=1&query=Pine+Dunes+Resort+Golf+Club+Frankston+TX,https://www.pinedunes.com,https://www.pinedunes.com/golf/tee-times,$$$,$100-150,,,,,,,,,,,,AvidGolfer Best Outlying 2025 - #1 TX Golfweek
The Cliffs Resort,To Play,,Graford,"160 Cliffs Dr, Graford, TX 76449",https://www.google.com/maps/search/?api=1&query=The+Cliffs+Resort+Graford+TX,https://ddresorts.com/the-cliffs/,https://ddresorts.com/the-cliffs/golf/,$$$,$80-125,,,,,,,,,,,,AvidGolfer Best Outlying 2025 - Possum Kingdom Lake
The Links at Land's End,To Play,,Yantis,"285 Private Rd 5980, Yantis, TX 75497",https://www.google.com/maps/search/?api=1&query=Links+at+Lands+End+Yantis+TX,https://www.golflakefork.com,https://www.golfnow.com/tee-times/facility/6813-the-links-at-lands-end/search,$$,$60-90,,,,,,,,,,,,AvidGolfer Best Outlying 2025 - Lake Fork
White Bluff Resort,To Play,,Whitney,"3 White Bluff Dr, Whitney, TX 76692",https://www.google.com/maps/search/?api=1&query=White+Bluff+Resort+Whitney+TX,https://whitebluffresort.com,https://whitebluffgolf.teesnap.net/,$$$,$80-125,,,,,,,,,,,,AvidGolfer Best Outlying 2025 - 2 courses
Turtle Hill Golf Course,To Play,,Muenster,"7708 N FM 373, Muenster, TX 76252",https://www.google.com/maps/search/?api=1&query=Turtle+Hill+Golf+Course+Muenster+TX,https://playtheturtle.com,https://www.golfnow.com/tee-times/facility/8054-turtle-hill-golf-course/search,$,$40-60,,,,,,,,,,,,AvidGolfer Best Outlying 2025
Squaw Valley - Apache Links,To Play,,Glen Rose,"2439 E Hwy 67, Glen Rose, TX 76043",https://www.google.com/maps/search/?api=1&query=Squaw+Valley+Golf+Course+Glen+Rose+TX,https://www.squawvalleygc.com,https://www.golfnow.com/tee-times/facility/9120-squaw-valley-golf-course-apache-links/search,$,$40-70,,,,,,,,,,,,4.5 star Golf Digest - #1 muni in TX
Squaw Valley - Comanche Lakes,To Play,,Glen Rose,"2439 E Hwy 67, Glen Rose, TX 76043",https://www.google.com/maps/search/?api=1&query=Squaw+Valley+Golf+Course+Glen+Rose+TX,https://www.squawvalleygc.com,https://www.golfnow.com/tee-times/facility/22696-squaw-valley-golf-course-comanche-lakes/search,$,$40-70,,,,,,,,,,,,4.5 star Golf Digest - #4 muni in TX
